station,lat,lon,time,algae
S-2,24.25522222,121.1728333,1998/8/4,100
S-4,24.25888889,121.17825,1998/8/4,157
S-6,24.26330556,121.1820833,1998/8/4,149
S-8,24.26580556,121.1878056,1998/8/4,208
S-10,24.26527777,121.1925833,1998/8/4,55
S-12,24.26536111,121.1968333,1998/8/4,57
S-14,24.26438888,121.2035833,1998/8/4,72
S-16,24.26230555,121.2062778,1998/8/4,73
S-18,24.26019444,121.2093611,1998/8/4,120
S-20,24.26163889,121.2117222,1998/8/4,111
S-22,24.26302778,121.2214722,1998/8/4,117
S-24,24.26297222,121.2259167,1998/8/4,111
S-26,24.26602778,121.2280833,1998/8/4,60
S-28,24.26866666,121.2285833,1998/8/4,91
S-30,0,0,1998/8/4,88
S-32,0,0,1998/8/4,67
S-34,0,0,1998/8/4,72
S-36,0,0,1998/8/4,115
S-38,0,0,1998/8/4,328
S-39,0,0,1998/8/4,447
S-40,0,0,1998/8/4,176
志樂溪   R010,0,0,1998/8/4,
谷關上,0,0,1998/8/4,
S-2,24.25522222,121.1728333,1998/11/1,0
S-4,24.25888889,121.17825,1998/11/1,4
S-6,24.26330556,121.1820833,1998/11/1,8
S-8,24.26580556,121.1878056,1998/11/1,28
S-10,24.26527777,121.1925833,1998/11/1,19
S-12,24.26536111,121.1968333,1998/11/1,8
S-14,24.26438888,121.2035833,1998/11/1,3
S-16,24.26230555,121.2062778,1998/11/1,3
S-18,24.26019444,121.2093611,1998/11/1,11
S-20,24.26163889,121.2117222,1998/11/1,11
S-22,24.26302778,121.2214722,1998/11/1,16
S-24,24.26297222,121.2259167,1998/11/1,17
S-26,24.26602778,121.2280833,1998/11/1,28
S-28,24.26866666,121.2285833,1998/11/1,20
S-30,0,0,1998/11/1,16
S-32,0,0,1998/11/1,16
S-34,0,0,1998/11/1,19
S-36,0,0,1998/11/1,112
S-38,0,0,1998/11/1,212
S-39,0,0,1998/11/1,12
S-40,0,0,1998/11/1,16
志樂溪   R010,0,0,1998/11/1,
谷關上,0,0,1998/11/1,
S-2,24.25522222,121.1728333,1999/1/4,1
S-4,24.25888889,121.17825,1999/1/4,0
S-6,24.26330556,121.1820833,1999/1/4,0
S-8,24.26580556,121.1878056,1999/1/4,0
S-10,24.26527777,121.1925833,1999/1/4,0
S-12,24.26536111,121.1968333,1999/1/4,0
S-14,24.26438888,121.2035833,1999/1/4,0
S-16,24.26230555,121.2062778,1999/1/4,0
S-18,24.26019444,121.2093611,1999/1/4,0
S-20,24.26163889,121.2117222,1999/1/4,0
S-22,24.26302778,121.2214722,1999/1/4,1
S-24,24.26297222,121.2259167,1999/1/4,0
S-26,24.26602778,121.2280833,1999/1/4,0
S-28,24.26866666,121.2285833,1999/1/4,3
S-30,0,0,1999/1/4,1
S-32,0,0,1999/1/4,1
S-34,0,0,1999/1/4,1
S-36,0,0,1999/1/4,5
S-38,0,0,1999/1/4,3
S-39,0,0,1999/1/4,25
S-40,0,0,1999/1/4,5
志樂溪   R010,0,0,1999/1/4,
谷關上,0,0,1999/1/4,
S-2,24.25522222,121.1728333,1999/5/4,19
S-4,24.25888889,121.17825,1999/5/4,16
S-6,24.26330556,121.1820833,1999/5/4,0
S-8,24.26580556,121.1878056,1999/5/4,19
S-10,24.26527777,121.1925833,1999/5/4,19
S-12,24.26536111,121.1968333,1999/5/4,36
S-14,24.26438888,121.2035833,1999/5/4,24
S-16,24.26230555,121.2062778,1999/5/4,15
S-18,24.26019444,121.2093611,1999/5/4,0
S-20,24.26163889,121.2117222,1999/5/4,33
S-22,24.26302778,121.2214722,1999/5/4,29
S-24,24.26297222,121.2259167,1999/5/4,19
S-26,24.26602778,121.2280833,1999/5/4,13
S-28,24.26866666,121.2285833,1999/5/4,7
S-30,0,0,1999/5/4,27
S-32,0,0,1999/5/4,21
S-34,0,0,1999/5/4,69
S-36,0,0,1999/5/4,27
S-38,0,0,1999/5/4,32
S-39,0,0,1999/5/4,27
S-40,0,0,1999/5/4,27
志樂溪   R010,0,0,1999/5/4,
谷關上,0,0,1999/5/4,
S-2,24.25522222,121.1728333,1999/7/4,75
S-4,24.25888889,121.17825,1999/7/4,37
S-6,24.26330556,121.1820833,1999/7/4,85
S-8,24.26580556,121.1878056,1999/7/4,49
S-10,24.26527777,121.1925833,1999/7/4,52
S-12,24.26536111,121.1968333,1999/7/4,159
S-14,24.26438888,121.2035833,1999/7/4,173
S-16,24.26230555,121.2062778,1999/7/4,123
S-18,24.26019444,121.2093611,1999/7/4,324
S-20,24.26163889,121.2117222,1999/7/4,96
S-22,24.26302778,121.2214722,1999/7/4,436
S-24,24.26297222,121.2259167,1999/7/4,152
S-26,24.26602778,121.2280833,1999/7/4,187
S-28,24.26866666,121.2285833,1999/7/4,133
S-30,0,0,1999/7/4,347
S-32,0,0,1999/7/4,680
S-34,0,0,1999/7/4,148
S-36,0,0,1999/7/4,171
S-38,0,0,1999/7/4,361
S-39,0,0,1999/7/4,321
S-40,0,0,1999/7/4,1595
志樂溪   R010,0,0,1999/7/4,
谷關上,0,0,1999/7/4,
S-2,24.25522222,121.1728333,2000/2/4,0
S-4,24.25888889,121.17825,2000/2/4,0
S-6,24.26330556,121.1820833,2000/2/4,0
S-8,24.26580556,121.1878056,2000/2/4,0
S-10,24.26527777,121.1925833,2000/2/4,0
S-12,24.26536111,121.1968333,2000/2/4,0
S-14,24.26438888,121.2035833,2000/2/4,0
S-16,24.26230555,121.2062778,2000/2/4,3
S-18,24.26019444,121.2093611,2000/2/4,0
S-20,24.26163889,121.2117222,2000/2/4,1
S-22,24.26302778,121.2214722,2000/2/4,1
S-24,24.26297222,121.2259167,2000/2/4,0
S-26,24.26602778,121.2280833,2000/2/4,0
S-28,24.26866666,121.2285833,2000/2/4,1
S-30,0,0,2000/2/4,0
S-32,0,0,2000/2/4,3
S-34,0,0,2000/2/4,0
S-36,0,0,2000/2/4,1
S-38,0,0,2000/2/4,3
S-39,0,0,2000/2/4,1
S-40,0,0,2000/2/4,5
志樂溪   R010,0,0,2000/2/4,
谷關上,0,0,2000/2/4,
S-2,24.25522222,121.1728333,2000/7/4,85
S-4,24.25888889,121.17825,2000/7/4,28
S-6,24.26330556,121.1820833,2000/7/4,17
S-8,24.26580556,121.1878056,2000/7/4,51
S-10,24.26527777,121.1925833,2000/7/4,9
S-12,24.26536111,121.1968333,2000/7/4,8
S-14,24.26438888,121.2035833,2000/7/4,15
S-16,24.26230555,121.2062778,2000/7/4,9
S-18,24.26019444,121.2093611,2000/7/4,8
S-20,24.26163889,121.2117222,2000/7/4,8
S-22,24.26302778,121.2214722,2000/7/4,53
S-24,24.26297222,121.2259167,2000/7/4,7
S-26,24.26602778,121.2280833,2000/7/4,49
S-28,24.26866666,121.2285833,2000/7/4,24
S-30,0,0,2000/7/4,69
S-32,0,0,2000/7/4,168
S-34,0,0,2000/7/4,535
S-36,0,0,2000/7/4,39
S-38,0,0,2000/7/4,43
S-39,0,0,2000/7/4,24
S-40,0,0,2000/7/4,25
志樂溪   R010,0,0,2000/7/4,
谷關上,0,0,2000/7/4,
S-2,24.25522222,121.1728333,2000/9/4,1
S-4,24.25888889,121.17825,2000/9/4,1
S-6,24.26330556,121.1820833,2000/9/4,11
S-8,24.26580556,121.1878056,2000/9/4,0
S-10,24.26527777,121.1925833,2000/9/4,1
S-12,24.26536111,121.1968333,2000/9/4,7
S-14,24.26438888,121.2035833,2000/9/4,3
S-16,24.26230555,121.2062778,2000/9/4,4
S-18,24.26019444,121.2093611,2000/9/4,3
S-20,24.26163889,121.2117222,2000/9/4,4
S-22,24.26302778,121.2214722,2000/9/4,3
S-24,24.26297222,121.2259167,2000/9/4,0
S-26,24.26602778,121.2280833,2000/9/4,1
S-28,24.26866666,121.2285833,2000/9/4,0
S-30,0,0,2000/9/4,3
S-32,0,0,2000/9/4,0
S-34,0,0,2000/9/4,0
S-36,0,0,2000/9/4,0
