station,lat,lon,time,algae
S-2,24.25522222,121.1728333,1998/8/4,90
S-4,24.25888889,121.17825,1998/8/4,65
S-6,24.26330556,121.1820833,1998/8/4,71
S-8,24.26580556,121.1878056,1998/8/4,272
S-10,24.26527777,121.1925833,1998/8/4,186
S-12,24.26536111,121.1968333,1998/8/4,189
S-14,24.26438888,121.2035833,1998/8/4,376
S-16,24.26230555,121.2062778,1998/8/4,291
S-18,24.26019444,121.2093611,1998/8/4,177
S-20,24.26163889,121.2117222,1998/8/4,221
S-22,24.26302778,121.2214722,1998/8/4,403
S-24,24.26297222,121.2259167,1998/8/4,188
S-26,24.26602778,121.2280833,1998/8/4,262
S-28,24.26866666,121.2285833,1998/8/4,125
S-30,0,0,1998/8/4,192
S-32,0,0,1998/8/4,174
S-34,0,0,1998/8/4,121
S-36,0,0,1998/8/4,204
S-38,0,0,1998/8/4,147
S-39,0,0,1998/8/4,98
S-40,0,0,1998/8/4,125
志樂溪   R010,0,0,1998/8/4,
谷關上,0,0,1998/8/4,
S-2,24.25522222,121.1728333,1998/11/1,96
S-4,24.25888889,121.17825,1998/11/1,40
S-6,24.26330556,121.1820833,1998/11/1,50
S-8,24.26580556,121.1878056,1998/11/1,95
S-10,24.26527777,121.1925833,1998/11/1,61
S-12,24.26536111,121.1968333,1998/11/1,48
S-14,24.26438888,121.2035833,1998/11/1,40
S-16,24.26230555,121.2062778,1998/11/1,48
S-18,24.26019444,121.2093611,1998/11/1,35
S-20,24.26163889,121.2117222,1998/11/1,80
S-22,24.26302778,121.2214722,1998/11/1,69
S-24,24.26297222,121.2259167,1998/11/1,98
S-26,24.26602778,121.2280833,1998/11/1,145
S-28,24.26866666,121.2285833,1998/11/1,124
S-30,0,0,1998/11/1,104
S-32,0,0,1998/11/1,109
S-34,0,0,1998/11/1,125
S-36,0,0,1998/11/1,108
S-38,0,0,1998/11/1,80
S-39,0,0,1998/11/1,140
S-40,0,0,1998/11/1,56
志樂溪   R010,0,0,1998/11/1,
谷關上,0,0,1998/11/1,
S-2,24.25522222,121.1728333,1999/1/4,123
S-4,24.25888889,121.17825,1999/1/4,87
S-6,24.26330556,121.1820833,1999/1/4,92
S-8,24.26580556,121.1878056,1999/1/4,80
S-10,24.26527777,121.1925833,1999/1/4,24
S-12,24.26536111,121.1968333,1999/1/4,164
S-14,24.26438888,121.2035833,1999/1/4,12
S-16,24.26230555,121.2062778,1999/1/4,84
S-18,24.26019444,121.2093611,1999/1/4,128
S-20,24.26163889,121.2117222,1999/1/4,148
S-22,24.26302778,121.2214722,1999/1/4,56
S-24,24.26297222,121.2259167,1999/1/4,168
S-26,24.26602778,121.2280833,1999/1/4,184
S-28,24.26866666,121.2285833,1999/1/4,168
S-30,0,0,1999/1/4,112
S-32,0,0,1999/1/4,120
S-34,0,0,1999/1/4,308
S-36,0,0,1999/1/4,1112
S-38,0,0,1999/1/4,632
S-39,0,0,1999/1/4,436
S-40,0,0,1999/1/4,464
志樂溪   R010,0,0,1999/1/4,
谷關上,0,0,1999/1/4,
S-2,24.25522222,121.1728333,1999/1/4,0
S-4,24.25888889,121.17825,1999/1/4,0
S-6,24.26330556,121.1820833,1999/1/4,0
S-8,24.26580556,121.1878056,1999/1/4,0
S-10,24.26527777,121.1925833,1999/1/4,0
S-12,24.26536111,121.1968333,1999/1/4,0
S-14,24.26438888,121.2035833,1999/1/4,0
