station,lat,lon,time,algae
S-2,24.25522222,121.1728333,1998/8/4,731
S-4,24.25888889,121.17825,1998/8/4,610
S-6,24.26330556,121.1820833,1998/8/4,545
S-8,24.26580556,121.1878056,1998/8/4,1223
S-10,24.26527777,121.1925833,1998/8/4,665
S-12,24.26536111,121.1968333,1998/8/4,706
S-14,24.26438888,121.2035833,1998/8/4,568
S-16,24.26230555,121.2062778,1998/8/4,925
S-18,24.26019444,121.2093611,1998/8/4,672
S-20,24.26163889,121.2117222,1998/8/4,598
S-22,24.26302778,121.2214722,1998/8/4,545
S-24,24.26297222,121.2259167,1998/8/4,294
S-26,24.26602778,121.2280833,1998/8/4,340
S-28,24.26866666,121.2285833,1998/8/4,269
S-30,0,0,1998/8/4,274
S-32,0,0,1998/8/4,260
S-34,0,0,1998/8/4,297
S-36,0,0,1998/8/4,262
S-38,0,0,1998/8/4,226
S-39,0,0,1998/8/4,111
S-40,0,0,1998/8/4,162
志樂溪   R010,0,0,1998/8/4,
谷關上,0,0,1998/8/4,
S-2,24.25522222,121.1728333,1998/11/1,256
S-4,24.25888889,121.17825,1998/11/1,180
S-6,24.26330556,121.1820833,1998/11/1,243
S-8,24.26580556,121.1878056,1998/11/1,253
S-10,24.26527777,121.1925833,1998/11/1,246
S-12,24.26536111,121.1968333,1998/11/1,325
S-14,24.26438888,121.2035833,1998/11/1,75
S-16,24.26230555,121.2062778,1998/11/1,320
S-18,24.26019444,121.2093611,1998/11/1,275
S-20,24.26163889,121.2117222,1998/11/1,307
S-22,24.26302778,121.2214722,1998/11/1,322
S-24,24.26297222,121.2259167,1998/11/1,546
S-26,24.26602778,121.2280833,1998/11/1,494
S-28,24.26866666,121.2285833,1998/11/1,588
S-30,0,0,1998/11/1,544
S-32,0,0,1998/11/1,363
S-34,0,0,1998/11/1,242
S-36,0,0,1998/11/1,268
S-38,0,0,1998/11/1,228
S-39,0,0,1998/11/1,240
S-40,0,0,1998/11/1,232
志樂溪   R010,0,0,1998/11/1,
谷關上,0,0,1998/11/1,
S-2,24.25522222,121.1728333,1999/1/4,78
S-4,24.25888889,121.17825,1999/1/4,44
S-6,24.26330556,121.1820833,1999/1/4,48
S-8,24.26580556,121.1878056,1999/1/4,520
S-10,24.26527777,121.1925833,1999/1/4,68
S-12,24.26536111,121.1968333,1999/1/4,376
S-14,24.26438888,121.2035833,1999/1/4,92
S-16,24.26230555,121.2062778,1999/1/4,124
S-18,24.26019444,121.2093611,1999/1/4,152
S-20,24.26163889,121.2117222,1999/1/4,196
S-22,24.26302778,121.2214722,1999/1/4,136
S-24,24.26297222,121.2259167,1999/1/4,36
S-26,24.26602778,121.2280833,1999/1/4,140
S-28,24.26866666,121.2285833,1999/1/4,108
S-30,0,0,1999/1/4,76
